CustomerKey;FirstName;LastName;FullName;Gender;DateFirstPurchase;Customer City;Customer City 2
11000;Jon;Yang;Jon Yang;Male;19/1/2020;Rockhampton;Merlo
11001;Eugene;Huang;Eugene Huang;Male;15/1/2020;Seaford;Quilmes
11002;Ruben;Torres;Ruben Torres;Male;7/1/2020;Hobart;San Salvador de Jujuy
11003;Christy;Zhu;Christy Zhu;Female;29/12/2019;North Ryde;Guaymallén
11004;Elizabeth;Johnson;Elizabeth Johnson;Female;23/1/2020;Wollongong;Santiago del Estero
11005;Julio;Ruiz;Julio Ruiz;Male;30/12/2019;East Brisbane;Gregorio de Laferrere
11006;Janet;Alvarez;Janet Alvarez;Female;24/1/2020;Matraville;Posadas
11007;Marco;Mehta;Marco Mehta;Male;9/1/2020;Warrnambool;José C. Paz
11008;Rob;Verhoff;Rob Verhoff;Female;25/1/2020;Bendigo;Paraná
11009;Shannon;Carlson;Shannon Carlson;Male;27/1/2020;Hervey Bay;Banfield
11010;Jacquelyn;Suarez;Jacquelyn Suarez;Female;14/1/2020;East Brisbane;Gregorio de Laferrere
11011;Curtis;Lu;Curtis Lu;Male;30/12/2019;East Brisbane;Gregorio de Laferrere
11012;Lauren;Walker;Lauren Walker;Female;16/3/2022;Bremerton;González Catán
11013;Ian;Jenkins;Ian Jenkins;Male;13/4/2022;Lebanon;Neuquén
11014;Sydney;Bennett;Sydney Bennett;Female;23/3/2022;Redmond;Formosa
11015;Chloe;Young;Chloe Young;Female;18/1/2022;Burbank;Gregorio de Laferrere
11016;Wyatt;Hill;Wyatt Hill;Male;9/2/2022;Imperial Beach;San Fernando del Valle de Catamarca
11017;Shannon;Wang;Shannon Wang;Female;12/1/2020;Sunbury;San Miguel de Tucumán
11018;Clarence;Rai;Clarence Rai;Male;17/1/2020;Bendigo;Paraná
11019;Luke;Lal;Luke Lal;Male;12/2/2022;Langley;Santa Fe
11020;Jordan;King;Jordan King;Male;29/12/2021;Metchosin;Salta
11021;Destiny;Wilson;Destiny Wilson;Female;23/1/2022;Beaverton;Guaymallén
11022;Ethan;Zhang;Ethan Zhang;Male;20/1/2022;Bellingham;Santa Fe
11023;Seth;Edwards;Seth Edwards;Male;17/2/2022;Bellflower;Lanús
11024;Russell;Xie;Russell Xie;Male;27/6/2022;Concord;La Plata
11025;Alejandro;Beck;Alejandro Beck;Male;6/1/2020;Hawthorne;Neuquén
11026;Harold;Sai;Harold Sai;Male;23/1/2020;Goulburn;Godoy Cruz
11027;Jessie;Zhao;Jessie Zhao;Male;16/1/2020;Warrnambool;José C. Paz
11028;Jill;Jimenez;Jill Jimenez;Female;26/1/2020;St. Leonards;Isidro Casanova
